"","dictyophylla","latevagans","nana","percussa","piloselloides","reptans","tecta","tobagensis"
"dictyophylla",NA,0.0143319445928464,0.476127813583206,0.654261104833736,0.18927965456757,0.668146697391807,0.106891642368686,0.506698351489234
"latevagans",0.0143319445928464,NA,0.0417623458965858,0.0138909593483298,0.0660617288972675,0.01011006875764819,0.0722821660013812,0.0240418052121232
"nana",0.476127813583206,0.0417623458965858,NA,0.360059722906889,0.327850258722946,0.312478181058272,0.207050483821407,0.493252460926519
"percussa",0.654261104833736,0.0138909593483298,0.360059722906889,NA,0.172635805047436,0.778881685548352,0.132021334974484,0.360717224247521
"piloselloides",0.18927965456757,0.0660617288759808,0.327850258714248,0.172635805047436,NA,0.103965688132465,0.47823210505333,0.240690671669398
"reptans",0.668146697391807,0.01011006875764819,0.312478181054947,0.77888168554589,0.103965688132465,NA,0.0527019002563807,0.369646295120511
"tecta",0.106891642368686,0.0722821660013812,0.207050483821407,0.132021334974484,0.47823210505333,0.0527019002563807,NA,0.153930682900497
"tobagensis",0.506698351489234,0.0240418052121232,0.493252460926519,0.360717224247521,0.240690671669398,0.369646295120511,0.153930682944733,NA
